INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico,,,,,,,,,,,,,,,,,
Fecha de elaboración: 24/05/2013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Población total por entidad federativa, sexo y grupos quinquenales de edad según tamaño de localidad",,,,,,,,,,,,,,,,,Población 2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Entidad federativa,Sexo,Grupos quinquenales de edad,Población total1,Tamaño de localidad,,,,,,,,,,,,,
,,,,1-249 habitantes,250-499 habitantes,500-999 habitantes,1 000-2 499 habitantes,2 500-4 999 habitantes,5 000-9 999 habitantes,10 000-14 999 habitantes,15 000-29 999 habitantes,30 000-49 999 habitantes,50 000-99 999 habitantes,100 000-249 999 habitantes,250 000-499 999 habitantes,500 000-999 999 habitantes,1 000 000 y más habitantes
,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,Total,Total,"112,336,538","5,743,850","4,822,134","6,507,030","8,976,755","6,360,949","6,081,738","3,664,946","6,417,488","4,150,450","5,946,088","8,599,450","13,873,211","16,363,103","14,829,346"
Estados Unidos Mexicanos,Total,00-04 años,"10,528,322","612,430","516,407","692,222","941,196","653,350","616,775","365,199","634,275","403,833","573,360","773,232","1,138,380","1,376,205","1,231,458"
Estados Unidos Mexicanos,Total,05-09 años,"11,047,537","646,310","552,408","735,888","988,684","685,283","639,785","376,864","654,443","420,004","595,000","804,363","1,200,166","1,436,035","1,312,304"
Estados Unidos Mexicanos,Total,10-14 años,"10,939,937","661,591","566,725","747,324","989,737","675,259","622,724","367,353","634,391","409,690","574,293","778,648","1,190,134","1,422,456","1,299,612"
Estados Unidos Mexicanos,Total,15-19 años,"11,026,112","623,689","533,021","714,516","963,701","666,954","619,247","367,970","640,215","411,343","574,849","801,828","1,252,296","1,501,771","1,354,712"
Estados Unidos Mexicanos,Total,20-24 años,"9,892,271","462,043","393,111","542,451","769,117","555,744","537,113","327,076","574,721","367,755","533,152","776,992","1,227,068","1,488,061","1,337,867"
Estados Unidos Mexicanos,Total,25-29 años,"8,788,177","377,221","323,910","449,399","652,436","480,215","474,533","290,633","512,347","328,036","486,939","716,172","1,117,676","1,354,344","1,224,316"
Estados Unidos Mexicanos,Total,30-34 años,"8,470,798","364,084","315,331","437,578","634,792","466,183","460,504","281,203","492,591","320,432","471,483","694,708","1,084,392","1,288,297","1,159,220"
Estados Unidos Mexicanos,Total,35-39 años,"8,292,987","344,365","298,082","413,307","595,049","439,870","435,674","267,618","472,810","312,534","455,810","686,058","1,102,921","1,293,238","1,175,651"
Estados Unidos Mexicanos,Total,40-44 años,"7,009,226","292,275","248,883","343,857","491,054","362,494","361,998","223,277","395,604","260,759","380,972","577,134","962,543","1,103,470","1,004,906"
Estados Unidos Mexicanos,Total,45-49 años,"5,928,730","257,065","215,896","296,571","419,323","306,228","302,067","185,816","330,955","216,914","315,955","481,817","826,546","930,146","843,431"
Estados Unidos Mexicanos,Total,50-54 años,"5,064,291","225,865","185,038","250,661","351,263","256,379","252,377","155,463","277,902","181,679","264,236","406,887","717,307","803,887","735,347"
Estados Unidos Mexicanos,Total,55-59 años,"3,895,365","195,877","156,834","211,428","287,307","202,677","193,532","117,477","207,700","134,954","196,272","299,656","529,790","602,333","559,528"
Estados Unidos Mexicanos,Total,60-64 años,"3,116,466","171,227","132,223","174,730","234,642","160,928","153,624","92,847","163,169","107,669","152,578","229,491","411,113","480,071","452,154"
